DAQI Band,Index,PM2_5_24_hour_mean_ugm3,Colour Name,Hex Colour,,
Very High,10,70 or more,Purple,#672C7F,,
High,9,64-70,Dark Red,#A50026,,
High,8,58-64,Red,#FF2600,,
High,7,53-58,Orange-Red,#FF6464,,
Moderate,6,47-53,Orange,#FF9300,,
Moderate,5,41-47,Yellow-Orange,#FFCE04,,
Moderate,4,35-41,Yellow,#FFFB00,,
Low,3,23-35,Light Green,#34FF00,,
Low,2,11-23,Medium Green,#61D836,,
Low,1,0-11,Dark Green,#1DB100,,
,,,,,,
EAQI Band,,,,,,
Extremely poor,,>140,Purple,#672C7F,,
Very Poor,,90-140,Dark Red,#A50026,,
Poor,,50-90,Red,#FF2600,,
Moderate,,15-50,Orange,#FF9300,,
Fair,,5-15,Yellow,#FFFB00,,
Good,,0-5,Light Green,#34FF00,,
